Data,Nr zamówienia,Kanał,Kategoria,Produkt,Ilość,Cena jedn. (zł),Przychód (zł),Prowizja (zł),Miasto,Status
2026-01-01,ZAM-10241,Sklep www,Kuchnia,Deska do krojenia dębowa,1,99.00,99.00,1.78,Rzeszów,Opłacone
2026-01-01,ZAM-10242,Allegro,Dom i biuro,Lampka LED na biurko,1,119.00,119.00,13.69,Poznań,Opłacone
2026-01-01,ZAM-10243,Allegro,Dom i biuro,Organizer biurkowy drewniany,1,79.00,79.00,9.09,Katowice,Opłacone
2026-01-01,ZAM-10244,Sklep www,Elektronika,Powerbank 20000mAh,2,139.00,278.00,5.00,Wrocław,Opłacone
2026-01-01,ZAM-10245,Sklep www,Kuchnia,Młynek do kawy ręczny,1,149.00,149.00,2.68,Kraków,Opłacone
2026-01-01,ZAM-10246,Sklep www,Dom i biuro,Lampka LED na biurko,1,119.00,119.00,2.14,Warszawa,Opłacone
2026-01-01,ZAM-10247,Sklep www,Akcesoria,Etui na klucze,2,49.00,98.00,1.76,Gdańsk,Opłacone
2026-01-02,ZAM-10248,Allegro,Elektronika,Powerbank 20000mAh,1,139.00,139.00,15.99,Kraków,Opłacone
2026-01-02,ZAM-10249,Allegro,Kuchnia,Kubek termiczny 450ml,3,69.00,186.30,21.42,Kraków,Opłacone
2026-01-02,ZAM-10250,Allegro,Akcesoria,Portfel skórzany slim,1,129.00,129.00,14.84,Poznań,Opłacone
2026-01-02,ZAM-10251,Allegro,Elektronika,Słuchawki BT douszne,1,159.00,159.00,18.29,Wrocław,Opłacone
2026-01-02,ZAM-10252,Sklep www,Kuchnia,Kubek termiczny 450ml,1,69.00,62.10,1.12,Białystok,Opłacone
2026-01-02,ZAM-10253,Allegro,Kuchnia,Kubek termiczny 450ml,2,69.00,138.00,15.87,Poznań,Opłacone
2026-01-02,ZAM-10254,Sklep www,Kuchnia,Młynek do kawy ręczny,1,149.00,134.10,2.41,Szczecin,Opłacone
2026-01-03,ZAM-10255,Allegro,Akcesoria,Plecak miejski 20L,1,179.00,179.00,20.59,Wrocław,Opłacone
2026-01-03,ZAM-10256,Allegro,Akcesoria,Etui na klucze,1,49.00,49.00,5.64,Szczecin,Opłacone
2026-01-03,ZAM-10257,Allegro,Kuchnia,Kubek termiczny 450ml,1,69.00,69.00,7.94,Warszawa,Opłacone
2026-01-03,ZAM-10258,Allegro,Dom i biuro,Podkładka pod laptopa bambusowa,2,89.00,178.00,20.47,Kraków,Opłacone
2026-01-03,ZAM-10259,Allegro,Elektronika,Powerbank 20000mAh,1,139.00,125.10,14.39,Warszawa,Opłacone
2026-01-03,ZAM-10260,Allegro,Dom i biuro,Lampka LED na biurko,1,119.00,119.00,13.69,Białystok,Opłacone
2026-01-03,ZAM-10261,Sklep www,Kuchnia,Deska do krojenia dębowa,1,99.00,89.10,1.60,Rzeszów,Opłacone
2026-01-04,ZAM-10262,Allegro,Akcesoria,Etui na klucze,1,49.00,49.00,5.64,Białystok,Opłacone
2026-01-04,ZAM-10263,Allegro,Elektronika,Ładowarka bezprzewodowa,1,99.00,99.00,11.38,Wrocław,Opłacone
2026-01-04,ZAM-10264,Allegro,Akcesoria,Etui na klucze,1,49.00,49.00,5.64,Kraków,Opłacone
2026-01-04,ZAM-10265,Sklep www,Kuchnia,Deska do krojenia dębowa,1,99.00,99.00,1.78,Kraków,Opłacone
2026-01-04,ZAM-10266,Allegro,Akcesoria,Portfel skórzany slim,3,129.00,387.00,44.51,Wrocław,Opłacone
2026-01-04,ZAM-10267,Allegro,Akcesoria,Portfel skórzany slim,1,129.00,129.00,14.84,Szczecin,Opłacone
2026-01-04,ZAM-10268,Allegro,Kuchnia,Kubek termiczny 450ml,1,69.00,69.00,7.94,Rzeszów,Opłacone
2026-01-04,ZAM-10269,Allegro,Elektronika,Ładowarka bezprzewodowa,1,99.00,99.00,11.38,Kraków,Opłacone
2026-01-04,ZAM-10270,Sklep www,Dom i biuro,Lampka LED na biurko,1,119.00,119.00,2.14,Poznań,Opłacone
2026-01-04,ZAM-10271,Allegro,Elektronika,Słuchawki BT douszne,1,159.00,143.10,16.46,Łódź,Opłacone
2026-01-04,ZAM-10272,Sklep www,Kuchnia,Kubek termiczny 450ml,1,69.00,69.00,1.24,Rzeszów,Opłacone
2026-01-05,ZAM-10273,Allegro,Akcesoria,Portfel skórzany slim,1,129.00,129.00,14.84,Katowice,Opłacone
2026-01-05,ZAM-10274,Allegro,Akcesoria,Plecak miejski 20L,1,179.00,179.00,20.59,Białystok,Opłacone
2026-01-05,ZAM-10275,Allegro,Akcesoria,Plecak miejski 20L,2,179.00,358.00,41.17,Poznań,Opłacone
2026-01-06,ZAM-10276,Sklep www,Akcesoria,Portfel skórzany slim,1,129.00,129.00,2.32,Kraków,Opłacone
2026-01-06,ZAM-10277,Sklep www,Akcesoria,Etui na klucze,1,49.00,49.00,0.88,Warszawa,Zwrot
2026-01-06,ZAM-10278,Sklep www,Kuchnia,Kubek termiczny 450ml,1,69.00,69.00,1.24,Katowice,Opłacone
2026-01-06,ZAM-10279,Sklep www,Dom i biuro,Podkładka pod laptopa bambusowa,3,89.00,267.00,4.81,Radom,Opłacone
2026-01-06,ZAM-10280,Allegro,Elektronika,Słuchawki BT douszne,3,159.00,477.00,54.86,Rzeszów,Opłacone
2026-01-07,ZAM-10281,Allegro,Dom i biuro,Organizer biurkowy drewniany,1,79.00,79.00,9.09,Warszawa,Opłacone
2026-01-07,ZAM-10282,Allegro,Akcesoria,Portfel skórzany slim,2,129.00,258.00,29.67,Lublin,Opłacone
2026-01-07,ZAM-10283,Sklep www,Dom i biuro,Podkładka pod laptopa bambusowa,1,89.00,80.10,1.44,Katowice,Opłacone
2026-01-07,ZAM-10284,Sklep www,Elektronika,Powerbank 20000mAh,1,139.00,139.00,2.50,Katowice,Opłacone
2026-01-07,ZAM-10285,Allegro,Elektronika,Powerbank 20000mAh,2,139.00,278.00,31.97,Rzeszów,Opłacone
2026-01-07,ZAM-10286,Sklep www,Kuchnia,Deska do krojenia dębowa,1,99.00,99.00,1.78,Łódź,Opłacone
2026-01-08,ZAM-10287,Sklep www,Dom i biuro,Lampka LED na biurko,1,119.00,119.00,2.14,Kraków,Opłacone
2026-01-08,ZAM-10288,Allegro,Kuchnia,Kubek termiczny 450ml,1,69.00,69.00,7.94,Kraków,Opłacone
2026-01-08,ZAM-10289,Sklep www,Kuchnia,Młynek do kawy ręczny,1,149.00,149.00,2.68,Gdańsk,Opłacone
2026-01-08,ZAM-10290,Allegro,Elektronika,Ładowarka bezprzewodowa,1,99.00,99.00,11.38,Białystok,Opłacone
2026-01-08,ZAM-10291,Sklep www,Dom i biuro,Podkładka pod laptopa bambusowa,2,89.00,178.00,3.20,Wrocław,Opłacone
2026-01-08,ZAM-10292,Sklep www,Elektronika,Powerbank 20000mAh,1,139.00,139.00,2.50,Gdańsk,Opłacone
2026-01-08,ZAM-10293,Allegro,Kuchnia,Deska do krojenia dębowa,2,99.00,198.00,22.77,Katowice,Opłacone
2026-01-08,ZAM-10294,Sklep www,Dom i biuro,Organizer biurkowy drewniany,1,79.00,79.00,1.42,Gdańsk,Opłacone
2026-01-08,ZAM-10295,Allegro,Akcesoria,Portfel skórzany slim,1,129.00,129.00,14.84,Kraków,Opłacone
2026-01-09,ZAM-10296,Allegro,Dom i biuro,Organizer biurkowy drewniany,1,79.00,79.00,9.09,Wrocław,Opłacone
2026-01-09,ZAM-10297,Allegro,Kuchnia,Młynek do kawy ręczny,2,149.00,268.20,30.84,Łódź,Opłacone
2026-01-09,ZAM-10298,Allegro,Kuchnia,Kubek termiczny 450ml,1,69.00,69.00,7.94,Katowice,Zwrot
2026-01-09,ZAM-10299,Sklep www,Elektronika,Słuchawki BT douszne,2,159.00,286.20,5.15,Wrocław,Opłacone
2026-01-09,ZAM-10300,Sklep www,Dom i biuro,Organizer biurkowy drewniany,2,79.00,158.00,2.84,Katowice,Opłacone
2026-01-09,ZAM-10301,Allegro,Elektronika,Słuchawki BT douszne,1,159.00,159.00,18.29,Kraków,Opłacone
2026-01-09,ZAM-10302,Allegro,Dom i biuro,Organizer biurkowy drewniany,1,79.00,79.00,9.09,Radom,Opłacone
2026-01-10,ZAM-10303,Sklep www,Kuchnia,Kubek termiczny 450ml,1,69.00,69.00,1.24,Gdańsk,Opłacone
2026-01-10,ZAM-10304,Sklep www,Kuchnia,Deska do krojenia dębowa,1,99.00,99.00,1.78,Lublin,Opłacone
2026-01-10,ZAM-10305,Sklep www,Dom i biuro,Organizer biurkowy drewniany,3,79.00,237.00,4.27,Gdańsk,Opłacone
2026-01-10,ZAM-10306,Sklep www,Elektronika,Powerbank 20000mAh,1,139.00,139.00,2.50,Szczecin,Zwrot
2026-01-10,ZAM-10307,Sklep www,Dom i biuro,Lampka LED na biurko,1,119.00,119.00,2.14,Rzeszów,Opłacone
2026-01-10,ZAM-10308,Allegro,Akcesoria,Etui na klucze,1,49.00,49.00,5.64,Rzeszów,Opłacone
2026-01-10,ZAM-10309,Sklep www,Kuchnia,Kubek termiczny 450ml,1,69.00,69.00,1.24,Łódź,Opłacone
2026-01-11,ZAM-10310,Allegro,Kuchnia,Deska do krojenia dębowa,1,99.00,99.00,11.38,Rzeszów,Opłacone
2026-01-11,ZAM-10311,Sklep www,Dom i biuro,Podkładka pod laptopa bambusowa,1,89.00,89.00,1.60,Rzeszów,Opłacone
2026-01-11,ZAM-10312,Allegro,Elektronika,Powerbank 20000mAh,1,139.00,139.00,15.99,Gdańsk,Opłacone
2026-01-11,ZAM-10313,Allegro,Akcesoria,Plecak miejski 20L,1,179.00,179.00,20.59,Radom,Opłacone
2026-01-11,ZAM-10314,Allegro,Kuchnia,Kubek termiczny 450ml,2,69.00,124.20,14.28,Rzeszów,Opłacone
2026-01-11,ZAM-10315,Sklep www,Dom i biuro,Lampka LED na biurko,1,119.00,119.00,2.14,Kraków,Opłacone
2026-01-11,ZAM-10316,Allegro,Kuchnia,Kubek termiczny 450ml,1,69.00,69.00,7.94,Warszawa,Opłacone
2026-01-11,ZAM-10317,Allegro,Akcesoria,Portfel skórzany slim,1,129.00,129.00,14.84,Białystok,Opłacone
2026-01-12,ZAM-10318,Allegro,Elektronika,Słuchawki BT douszne,1,159.00,159.00,18.29,Białystok,Opłacone
2026-01-12,ZAM-10319,Allegro,Dom i biuro,Lampka LED na biurko,1,119.00,119.00,13.69,Rzeszów,Opłacone
2026-01-12,ZAM-10320,Allegro,Dom i biuro,Organizer biurkowy drewniany,2,79.00,158.00,18.17,Wrocław,Opłacone
2026-01-12,ZAM-10321,Allegro,Elektronika,Ładowarka bezprzewodowa,1,99.00,99.00,11.38,Radom,Opłacone
2026-01-12,ZAM-10322,Allegro,Elektronika,Słuchawki BT douszne,1,159.00,143.10,16.46,Radom,Opłacone
2026-01-13,ZAM-10323,Allegro,Kuchnia,Deska do krojenia dębowa,2,99.00,198.00,22.77,Lublin,Opłacone
2026-01-13,ZAM-10324,Sklep www,Kuchnia,Kubek termiczny 450ml,1,69.00,69.00,1.24,Gdańsk,Opłacone
2026-01-13,ZAM-10325,Sklep www,Akcesoria,Etui na klucze,1,49.00,49.00,0.88,Wrocław,Opłacone
2026-01-13,ZAM-10326,Sklep www,Dom i biuro,Lampka LED na biurko,1,119.00,119.00,2.14,Warszawa,Opłacone
2026-01-13,ZAM-10327,Sklep www,Akcesoria,Plecak miejski 20L,1,179.00,161.10,2.90,Warszawa,Opłacone
2026-01-14,ZAM-10328,Sklep www,Elektronika,Powerbank 20000mAh,1,139.00,139.00,2.50,Katowice,Opłacone
2026-01-14,ZAM-10329,Allegro,Akcesoria,Plecak miejski 20L,1,179.00,179.00,20.59,Poznań,Opłacone
2026-01-14,ZAM-10330,Sklep www,Kuchnia,Deska do krojenia dębowa,1,99.00,99.00,1.78,Białystok,Opłacone
2026-01-15,ZAM-10331,Allegro,Dom i biuro,Podkładka pod laptopa bambusowa,1,89.00,80.10,9.21,Szczecin,Opłacone
2026-01-15,ZAM-10332,Sklep www,Dom i biuro,Organizer biurkowy drewniany,1,79.00,71.10,1.28,Wrocław,Opłacone
2026-01-15,ZAM-10333,Sklep www,Akcesoria,Plecak miejski 20L,1,179.00,179.00,3.22,Katowice,Opłacone
2026-01-15,ZAM-10334,Sklep www,Akcesoria,Plecak miejski 20L,1,179.00,179.00,3.22,Lublin,Opłacone
2026-01-15,ZAM-10335,Sklep www,Kuchnia,Młynek do kawy ręczny,1,149.00,134.10,2.41,Warszawa,Opłacone
2026-01-15,ZAM-10336,Sklep www,Kuchnia,Kubek termiczny 450ml,1,69.00,69.00,1.24,Wrocław,Opłacone
2026-01-15,ZAM-10337,Allegro,Dom i biuro,Lampka LED na biurko,1,119.00,119.00,13.69,Łódź,Opłacone
